#{"t_start": 1774405746.7420816, "env_id": "None"}
r,l,t
-100.0,100,3.414088
-100.0,100,5.397363
-100.0,100,7.289926
-100.0,100,9.183282
-100.0,100,11.072934
-100.0,100,12.959084
-100.0,100,14.89826
-100.0,100,17.015862
-100.0,100,19.161528
-100.0,100,21.303926
-100.0,100,23.421855
-100.0,100,25.576682
-100.0,100,27.720274
-100.0,100,29.912341
-100.0,100,32.058881
-100.0,100,34.191563
-100.0,100,36.346577
-100.0,100,38.525408
-100.0,100,40.686138
-100.0,100,42.840751
-100.0,100,44.967523
-100.0,100,47.124215
-100.0,100,49.208465
-100.0,100,51.056152
-100.0,100,52.926819
-100.0,100,54.768695
-100.0,100,56.608026
-100.0,100,58.447692
-100.0,100,60.420486
-100.0,100,62.316506
-100.0,100,64.223833
-100.0,100,65.964528
-100.0,100,67.722472
-100.0,100,69.541357
-100.0,100,71.37639
-100.0,100,73.094069
-100.0,100,74.73126
-100.0,100,76.36926
-100.0,100,78.274992
-100.0,100,80.104302
-100.0,100,82.071952
-100.0,100,83.948606
-100.0,100,85.787531
-100.0,100,87.743652
-100.0,100,89.536715
-100.0,100,90.897203
-100.0,100,91.998076
-100.0,100,93.147093
-100.0,100,94.308069
-100.0,100,95.47433
-100.0,100,96.630488
-100.0,100,97.784812
-100.0,100,98.959456
-100.0,100,100.143862
-100.0,100,101.290596
-100.0,100,102.423383
-100.0,100,103.543164
-100.0,100,104.723321
-100.0,100,106.252369
-100.0,100,108.187324
-100.0,100,110.348795
-100.0,100,112.04247
-100.0,100,113.198354
-100.0,100,114.350509
-100.0,100,115.512176
-100.0,100,116.665025
-100.0,100,117.829446
-100.0,100,118.940012
-100.0,100,120.046811
-100.0,100,121.223602
-100.0,100,122.405503
-100.0,100,123.58507
-100.0,100,124.783716
-100.0,100,125.976538
-100.0,100,127.147372
-100.0,100,128.314276
-100.0,100,129.466903
-100.0,100,130.628624
-100.0,100,131.791211
-100.0,100,132.952672
-100.0,100,134.453721
-100.0,100,136.465846
-100.0,100,138.301234
-100.0,100,139.454156
-100.0,100,141.44058
-100.0,100,143.379468
-100.0,100,145.301095
-100.0,100,147.259352
-100.0,100,149.093836
-100.0,100,150.951823
-100.0,100,152.84518
-100.0,100,154.819372
-100.0,100,156.779774
-100.0,100,158.793354
-100.0,100,160.959994
-100.0,100,163.117702
-100.0,100,165.336452
-100.0,100,167.492067
-100.0,100,169.622879
-100.0,100,171.797526
-100.0,100,185.383893
-100.0,100,187.547897
-100.0,100,189.62843
-100.0,100,191.242352
-100.0,100,193.387731
-100.0,100,195.549541
-100.0,100,197.685529
-100.0,100,199.853245
-100.0,100,201.989699
-100.0,100,204.161808
-100.0,100,206.317898
-100.0,100,208.466552
-100.0,100,210.599803
-100.0,100,212.75257
-100.0,100,214.920168
-100.0,100,217.058191
-100.0,100,219.227771
-100.0,100,221.385405
-100.0,100,223.504545
-100.0,100,225.0214
-100.0,100,226.171912
-100.0,100,227.330747
-100.0,100,228.502259
-100.0,100,229.653615
-100.0,100,230.714385
-100.0,100,231.774818
-100.0,100,232.832513
-100.0,100,233.89507
-100.0,100,234.965551
-100.0,100,236.029677
-100.0,100,237.085552
-100.0,100,238.145024
-100.0,100,239.32405
-100.0,100,240.49179
-100.0,100,241.667386
-100.0,100,242.858423
-100.0,100,244.190887
-100.0,100,246.323435
-100.0,100,247.799572
-100.0,100,248.96073
-100.0,100,250.136135
-100.0,100,251.281958
-100.0,100,252.761101
-100.0,100,255.018711
-100.0,100,257.417571
-100.0,100,259.79753
-100.0,100,262.040047
-100.0,100,264.253659
-100.0,100,266.389717
-100.0,100,268.462472
-100.0,100,270.59902
-100.0,100,272.756436
-100.0,100,274.856898
-100.0,100,276.96622
-100.0,100,279.078765
-100.0,100,281.213105
-100.0,100,282.996686
-100.0,100,284.55405
-100.0,100,286.134949
-100.0,100,287.69928
-100.0,100,289.285176
-100.0,100,290.872806
-100.0,100,292.461669
-100.0,100,294.583639
-100.0,100,296.80915
-100.0,100,299.075473
-100.0,100,301.345639
-100.0,100,303.558803
-100.0,100,305.670265
-100.0,100,307.831886
-100.0,100,309.963365
-100.0,100,312.080184
-100.0,100,314.208754
-100.0,100,316.315261
-100.0,100,318.33015
-99.0,100,320.427634
-100.0,100,322.544924
-100.0,100,324.664361
-100.0,100,326.768718
-100.0,100,328.906759
-100.0,100,331.023164
-100.0,100,333.104735
-100.0,100,335.105858
-100.0,100,337.116345
-100.0,100,339.142186
-100.0,100,341.124045
-100.0,100,343.072845
-100.0,100,345.018179
-100.0,100,346.958331
-100.0,100,348.900906
-100.0,100,350.886391
-100.0,100,352.864026
-100.0,100,354.905487
-100.0,100,356.960518
-100.0,100,358.969275
-100.0,100,360.99033
-100.0,100,363.004849
-100.0,100,364.977259
-100.0,100,366.969039
-100.0,100,368.970031
-100.0,100,381.2759
-100.0,100,383.107335
-100.0,100,384.974324
-100.0,100,386.794949
-100.0,100,388.620692
-100.0,100,390.453093
-100.0,100,392.518034
-100.0,100,394.60242
-100.0,100,396.600162
-100.0,100,398.38635
-100.0,100,399.98064
-100.0,100,401.674678
-100.0,100,403.407103
-100.0,100,405.091905
-100.0,100,406.876434
-100.0,100,408.815777
-100.0,100,410.733958
-100.0,100,412.580785
-100.0,100,414.45614
-100.0,100,416.608238
-100.0,100,418.716827
-100.0,100,420.714891
-100.0,100,422.699512
-100.0,100,424.737377
-100.0,100,426.721727
-100.0,100,428.708071
-100.0,100,430.675997
-100.0,100,432.685601
-100.0,100,434.738543
-100.0,100,436.809175
-100.0,100,438.868881
-100.0,100,440.923786
-100.0,100,442.957562
-100.0,100,445.025459
-100.0,100,447.020154
-100.0,100,449.051032
-100.0,100,451.010917
-99.0,100,452.920349
-100.0,100,454.823456
-100.0,100,456.836482
-100.0,100,458.868898
-100.0,100,460.97987
-100.0,100,463.060401
-100.0,100,465.189955
-100.0,100,467.284494
-100.0,100,469.377504
-100.0,100,471.470317
-100.0,100,473.615764
-100.0,100,475.747564
-100.0,100,477.872495
-100.0,100,480.005002
-100.0,100,482.100743
-100.0,100,484.208387
-100.0,100,486.288293
-100.0,100,488.463197
-100.0,100,490.63869
-100.0,100,493.037083
-100.0,100,495.578534
-100.0,100,498.174794
-100.0,100,500.76456
-100.0,100,503.394725
-100.0,100,505.969376
-100.0,100,508.615314
-100.0,100,511.194718
-100.0,100,513.795678
-100.0,100,516.340802
-100.0,100,518.904063
-100.0,100,521.584584
-100.0,100,524.288457
-100.0,100,526.83376
-100.0,100,528.354306
-100.0,100,529.580028
-100.0,100,530.793632
-100.0,100,533.141006
-100.0,100,534.868491
-100.0,100,536.103327
-100.0,100,537.373379
-100.0,100,538.615879
-100.0,100,539.79321
-100.0,100,540.972561
-100.0,100,542.226505
-100.0,100,543.51363
-100.0,100,544.973849
-100.0,100,547.607462
-100.0,100,550.319572
-100.0,100,552.388918
-100.0,100,554.441574
-100.0,100,556.597365
-100.0,100,558.718104
-100.0,100,560.526924
-100.0,100,562.592043
-100.0,100,564.636547
-100.0,100,566.713923
-100.0,100,568.54277
-100.0,100,569.971489
-100.0,100,571.36611
-100.0,100,572.605332
-100.0,100,573.783743
-100.0,100,574.954042
-100.0,100,576.144944
-100.0,100,587.577099
-100.0,100,588.765063
-100.0,100,589.95814
-100.0,100,591.142635
-100.0,100,592.365833
-100.0,100,593.549647
-100.0,100,595.216338
-100.0,100,596.618394
-100.0,100,597.899613
-100.0,100,599.077918
-100.0,100,600.28397
-100.0,100,601.516019
-100.0,100,602.723212
-100.0,100,604.456546
-100.0,100,606.574242
-100.0,100,608.667403
-100.0,100,610.787996
-100.0,100,612.923347
-100.0,100,614.836138
-100.0,100,616.107703
-100.0,100,617.658451
-100.0,100,619.689605
-100.0,100,621.069079
-100.0,100,622.285581
-100.0,100,623.523576
-100.0,100,625.548119
-100.0,100,627.685465
-100.0,100,629.797105
-100.0,100,631.873632
-100.0,100,633.957266
-100.0,100,636.076829
-100.0,100,638.01045
-100.0,100,639.386006
-100.0,100,641.21743
-100.0,100,642.609562
-100.0,100,643.801698
-100.0,100,645.001158
-100.0,100,646.319816
-100.0,100,648.429925
-100.0,100,650.593906
-100.0,100,652.707576
-100.0,100,654.462183
-100.0,100,655.785668
-100.0,100,657.097707
-100.0,100,658.820644
-100.0,100,660.613749
-100.0,100,661.842045
-100.0,100,663.115205
-100.0,100,664.378033
-100.0,100,665.63421
-100.0,100,667.324384
